district,state,latitude,longitude,soil_type,soil_n,soil_p,soil_k,soil_ph,soil_moisture,humidity,avg_temperature,seasonal_rainfall,climate_season,previous_crop,crop_name,crop_duration_days,crop_water_requirement,yield_tonnes_per_hectare,risk_score
Belagavi,Karnataka,18.0919,77.3508,Sandy,40,34,51,7.7,20,31,33,259,Zaid,Soybean,Mustard,124,Low,0.74,0.406
Nizamabad,Telangana,17.2978,78.2249,Sandy,47,46,40,8.2,20,70,20,590,Rabi,Soybean,Chilli,121,Medium,1.37,0.542
Aurangabad,Maharashtra,18.2167,79.8888,Red,24,30,64,6.8,20,57,39,177,Zaid,Cotton,Chilli,138,Medium,1.45,0.711
Ahmedabad,Gujarat,24.4736,68.7714,Sandy,78,36,55,8.9,20,64,21,348,Rabi,Brinjal,Tomato,105,Medium,17.77,0.554
Ahmedabad,Gujarat,23.4794,70.3805,Clay,67,25,42,7.2,24,75,27,1018,Kharif,Cotton,Soybean,96,Medium,3.69,0.264
Jodhpur,Rajasthan,24.4538,77.5078,Sandy,59,40,48,7.7,20,31,39,219,Zaid,Mustard,Onion,144,Medium,8.75,0.477
Bengaluru,Karnataka,12.7894,76.6308,Alluvial,53,19,50,7.6,20,37,40,169,Zaid,Chilli,Tomato,99,Medium,20.16,0.8
Lucknow,Uttar Pradesh,27.1621,80.5183,Alluvial,23,57,26,6.8,32,84,27,1637,Kharif,Maize,Mustard,140,Low,1.12,0.217
Faridabad,Haryana,29.2835,77.4747,Alluvial,46,50,38,7.4,32,71,24,1632,Kharif,Cauliflower,Brinjal,121,Medium,30.97,0.363
Madurai,Tamil Nadu,8.8383,78.1545,Alluvial,61,53,36,7.2,20,60,27,570,Rabi,Sugarcane,Maize,109,Medium,7.2,0.27
Thrissur,Kerala,8.5427,76.221,Alluvial,44,34,17,7.9,20,52,45,238,Zaid,Groundnut,Brinjal,130,Medium,19.92,0.675
Ludhiana,Punjab,30.0111,76.3633,Mountain,27,10,46,5.6,20,34,31,189,Zaid,Brinjal,Wheat,154,Medium,1.99,0.476
Salem,Tamil Nadu,11.0062,77.2519,Sandy,33,46,67,7.8,20,51,26,380,Rabi,Wheat,Tomato,115,Medium,27.89,0.634
Bhavnagar,Gujarat,21.5306,73.4785,Loamy,47,24,70,6.4,20,57,33,158,Zaid,Maize,Cauliflower,112,High,13.29,0.8
Salem,Tamil Nadu,8.6762,78.4454,Laterite,43,52,18,6.5,20,65,24,287,Rabi,Potato,Cauliflower,82,High,19.4,0.549
Aurangabad,Maharashtra,18.3441,76.7299,Alluvial,80,56,66,7.2,38,79,37,1920,Kharif,Cotton,Cabbage,82,High,23.18,0.548
Jabalpur,Madhya Pradesh,25.8519,77.7154,Alluvial,34,26,20,7.7,20,56,21,322,Rabi,Chilli,Cotton,168,Low,1.68,0.705
